se_01,se_02,se_03,wb_01,wb_02,wb_03
0.6352,0.624,,0.1951,0.4853,-0.6483
0.1923,1.0537,0.4436,-0.4631,-0.7074,-0.2816
-0.5284,,,0.0299,-0.3123,-0.2172
0.0097,0.898,0.0771,-0.9108,-0.4887,-1.5628
-0.6613,-0.7029,0.5727,1.2551,1.9256,1.016
-1.0698,-0.9924,,,-1.7645,-1.9548
0.0308,0.7142,0.5049,-0.3038,-0.7683,
-3.0607,-1.2392,-0.5066,-1.4381,-2.0245,-0.9215
0.2664,-0.7392,,0.8488,-0.3246,
,-0.8502,-1.4447,0.3257,0.5951,-1.6303
-0.9383,-0.8419,-1.1098,1.2381,0.669,0.9596
-0.0701,-0.338,-0.5466,1.1469,0.9407,0.6022
0.2577,0.9563,0.3774,1.428,,0.5192
0.5334,1.7955,,0.7459,0.3848,0.5191
-0.2239,1.2327,-0.0261,-0.8024,-0.7537,-0.3592
-0.6911,0.4026,-0.6094,-0.6158,0.1172,-0.451
0.0465,-0.6635,-0.9122,-1.054,-1.0294,-0.8166
-0.509,0.0414,1.1085,0.4149,0.9345,0.0543
,1.8344,,-0.0688,-0.5627,0.1488
0.9192,-0.1142,,0.6236,0.3475,-0.499
-1.7288,-2.3386,-1.5833,-0.3359,-0.1648,-0.4824
,,-1.646,-0.3794,-0.7026,0.0637
-1.2465,-0.5248,-0.571,0.8582,-0.285,-0.1918
1.3685,2.706,0.7272,-0.2994,0.6766,-0.2048
0.4216,1.3798,0.5678,1.1488,0.8181,-0.7973
-1.1115,-1.0622,-0.7221,-0.4496,-0.7902,0.1608
-0.8298,,,,-0.0501,-0.1987
-0.1627,-0.4639,-0.4607,-1.0475,-0.8808,-1.8067
0.8606,,0.4468,0.5043,-0.3333,-0.9272
0.5996,1.0133,0.5794,0.6726,0.8616,2.4491
0.8143,0.8221,1.1184,0.0098,-0.0359,-0.3767
1.6029,1.1201,,,2.2189,1.1129
2.8331,-0.0269,0.3556,0.4775,0.9515,1.2139
0.6185,0.6271,1.4218,0.1195,1.1829,-0.5682
2.1919,1.3255,1.7788,1.2769,1.7794,
0.1743,-0.4552,-0.9147,-1.3534,-0.8538,-1.2547
-0.8251,-0.835,-1.0899,-0.4141,-0.9386,-0.5167
-0.6576,0.2542,0.7442,0.9983,0.5277,0.3438
-0.2014,,-0.9101,0.4093,-0.617,0.8051
1.2522,1.1741,1.2094,-0.6538,-0.8644,0.5425
-0.784,0.0481,-0.8311,-0.2124,-0.6661,-1.0632
0.3094,,1.5968,-0.561,-0.6645,
-1.0967,-0.9977,-0.6698,0.0592,-1.645,-0.5968
-0.729,,0.1078,-0.4285,-1.603,-0.4531
,-0.059,0.555,0.3576,0.3885,-0.3307
1.8055,1.2651,1.0585,0.5183,-0.3677,
0.1756,-0.3768,0.2521,,-0.1847,-0.2148
0.568,1.1684,0.2289,1.6462,-0.1418,0.2736
0.6181,0.0637,0.0805,1.0145,0.2986,-0.4763
-0.1563,0.2058,0.1375,-0.395,0.5051,-0.4598
-1.3869,-1.7611,-0.3181,-1.1729,,-0.2603
-0.6445,-2.1283,-1.0176,-1.5095,-1.1058,-1.9192
-0.5386,0.2332,1.2515,0.8375,-0.2401,-0.1019
0.8434,1.4299,2.2399,1.0577,0.4625,0.9262
0.593,-0.4331,0.5615,-0.9417,-1.003,-0.4873
1.1123,0.6716,0.3162,-0.2207,-0.2358,0.4116
-0.4157,-0.472,-0.9391,-0.1064,1.416,1.1818
-0.1631,0.6068,0.4868,0.5549,-1.2826,0.7344
0.2466,-0.0069,-0.1212,1.1728,2.2285,1.2841
-1.125,-0.0369,-0.6077,0.7473,0.618,1.5072
-1.0313,-0.0162,-1.6248,-0.401,-0.1769,-0.57
0.0952,0.4164,0.8256,1.3383,0.4733,0.4528
0.1649,0.0978,-0.6218,-0.2158,-0.4559,0.0946
-0.4584,-0.7564,-1.3505,-0.6515,-0.1468,-0.6817
0.2621,0.6425,-0.859,-1.6503,-1.9087,-0.6407
0.7324,-0.0291,-1.1861,0.2455,0.5506,0.2996
-1.298,-0.5355,-0.7416,-1.4537,-1.2554,-0.7839
0.9663,,0.3042,,1.2773,-0.0956
-1.1183,-0.5078,0.994,,0.957,-0.4036
-1.1676,-1.7857,-1.0476,1.6006,,0.4573
1.2019,2.3994,1.2839,0.9324,1.5432,
-0.7993,-1.0751,-0.2781,-0.3902,-0.1714,-0.5351
-0.4667,0.8599,0.2348,0.4981,-0.3377,0.7303
-0.5585,-0.8877,-1.4616,0.3271,-0.3011,-0.8464
-1.0545,-0.3145,-1.2754,0.1662,0.0967,-0.5928
0.0204,0.7276,,1.1035,-0.0363,
-1.734,0.2592,,-0.1485,1.6149,0.8576
0.5878,0.9667,1.0295,0.7315,,1.297
0.3984,0.0364,,0.3019,,
-2.351,-0.7904,-0.4013,-0.5271,0.6004,-0.7848
-1.1961,1.2327,-0.9766,0.7197,0.7956,0.4628
0.227,0.9165,1.5132,1.5069,0.7951,1.41
,,-1.5038,-1.4191,-0.9995,-0.2856
0.0332,-0.4856,-0.5291,-0.7717,-0.6909,-1.4897
0.7471,0.8008,1.1563,-0.4822,-0.4046,0.2353
-0.9346,-1.7876,-1.6395,-1.6393,,-1.2155
1.3659,1.3392,-0.3963,-1.9976,0.1265,-1.0911
0.4682,,-0.8605,-0.5491,0.3325,-0.3684
1.6106,1.8765,1.3085,-0.7586,0.0738,
0.6704,0.055,-0.7629,-0.7613,-0.4937,-0.1125
0.6076,-0.1129,1.192,1.3007,-0.1538,-0.8055
-0.6764,,1.3528,-0.9927,0.5856,-0.5192
-0.6201,-0.4772,-0.5426,,-0.0738,0.5007
-0.7893,-1.5907,-1.4406,-0.7687,-1.5121,-0.1273
,0.2369,0.0515,-1.1055,-0.9372,
-1.6953,-0.4687,-1.9328,-0.2097,0.2771,-0.3051
-1.9146,-2.0073,-1.1358,-1.9729,-1.1303,-0.9128
0.8514,0.066,0.2369,0.8456,0.951,1.0775
-0.0211,-0.3584,-1.2738,-0.9264,-1.6307,-0.7444
-0.2478,-1.2871,0.8921,-0.5042,-0.0354,0.499
0.0093,-0.9187,-1.5399,0.6922,0.9946,1.0221
-0.8757,-1.1961,,0.6871,,1.0073
-0.3004,0.2679,-0.9653,-1.0699,-0.8754,-0.7949
-0.9264,-1.6194,-0.8884,-0.6392,-1.4796,-1.3921
0.428,1.5415,-0.1162,-0.0964,1.6425,0.8054
0.2142,0.8082,0.6014,-1.3195,-0.7288,0.4009
0.5359,0.9931,-0.1235,,0.434,-0.2115
-1.2418,-0.7133,-0.4244,-1.4516,-0.5293,0.2726
0.6012,-0.2601,-0.2935,0.2394,-0.9736,0.6025
0.1622,0.9408,0.4819,0.8002,1.5281,1.6784
0.4259,-0.7584,-0.5911,1.2424,,1.0874
1.7812,2.5295,1.4558,0.4921,1.307,1.91
,0.5496,0.4504,0.5841,-0.0913,1.5432
1.9605,1.5723,1.5189,0.6904,1.3081,1.5526
-0.3405,0.2245,0.2119,-0.2007,-0.9222,-0.2444
-1.1129,0.1141,0.2849,0.0397,0.0656,0.492
0.434,0.9479,0.466,-0.1863,0.6728,0.0241
0.5143,-0.0603,,0.1113,-0.0278,-0.7113
0.2771,0.2975,0.9447,-0.9388,-0.999,-1.356
,0.7495,0.3542,1.1932,1.9462,1.6796
1.3407,1.0009,1.4372,0.2035,0.2056,-0.2841
1.6985,2.5389,0.4756,0.3769,0.2808,0.9701
-0.5796,-0.1754,0.9507,-0.3813,0.2684,0.4282
0.1207,0.6666,0.0061,1.6085,-0.1814,-1.0538
0.6205,0.9461,-0.4416,0.1444,-0.2105,0.7692
0.8137,1.6517,1.5122,,1.1779,0.4873
-2.0289,-0.9441,-1.0651,-3.2992,-2.1545,-2.4868
-0.4767,,0.0546,0.3114,0.446,0.4921
0.351,-0.5634,-0.8262,,0.1913,0.245
-0.1441,0.4255,-0.6226,,0.7264,1.0648
0.1257,,-0.849,-0.5779,0.8644,
0.4928,1.0395,1.2278,-0.6907,0.0809,0.0775
,0.9976,1.2943,,0.3428,0.0481
-0.3909,0.4729,0.0585,1.1563,1.4526,0.6248
0.3968,-0.07,,0.267,0.5547,-0.3201
0.2742,0.0249,0.0563,0.7971,1.5276,0.7587
0.6735,0.2043,-0.2183,0.85,,-0.1985
1.4966,1.4559,1.3388,1.7901,0.3539,0.9845
0.405,-0.0685,0.2945,0.6173,0.0374,1.6461
0.3412,0.6176,0.7504,1.4055,,2.2953
1.2402,1.0289,-0.0711,-0.1717,,-0.4987
-0.0885,-0.5507,,0.7523,-0.4301,-0.3567
0.9618,0.9467,1.6779,-0.4592,0.287,-0.2597
-0.6161,-0.6507,-0.5002,0.7729,1.3423,1.4312
-0.6427,0.7143,0.1597,-1.9071,-2.1736,-1.3217
0.3236,-0.6781,-0.5179,-0.9867,-0.5652,
0.4961,,1.6434,0.4667,-0.1848,0.8443
0.4818,1.1335,1.8244,1.2144,0.6901,1.7059
-1.2316,-1.5368,,-0.7761,-0.3857,
0.1031,1.0116,2.0531,2.0948,0.8635,1.1759
-0.0493,,0.3067,-0.0418,1.1521,0.5895
1.0122,0.7397,1.4581,0.7362,1.9097,1.7284
0.6451,-0.2818,0.5192,0.8205,1.1156,
-1.1905,-1.3552,-0.2334,0.4842,0.788,0.4399
0.1555,0.3415,0.7975,0.9195,0.5712,1.5909
-0.4418,-0.787,,-0.7289,-2.3503,-0.8932
-0.3949,-0.5923,-0.7642,-0.7253,-0.1256,0.8257
-0.4226,-1.8081,-0.3929,0.4584,-0.0299,0.2225
0.565,0.9932,0.7558,0.7519,2.6291,1.5376
0.2773,-0.5295,-0.1915,0.6533,1.0376,1.1643
-1.1397,-1.4558,-0.9087,0.1949,-0.854,-1.558
-0.8324,-0.5952,0.1941,0.9309,1.1466,0.9261
-1.1588,-2.0431,-1.5804,-1.6956,0.9505,-0.7406
-0.3238,-0.1054,1.2892,0.4228,-0.1514,0.6039
1.1172,0.4297,-0.0236,0.73,0.5916,0.1489
2.1634,1.1775,1.7776,0.7809,1.2525,0.0892
-0.84,-1.1403,-0.7021,-0.1497,1.2431,0.3647
-1.4654,-1.0743,,-1.4444,-2.1012,-0.6309
-1.9225,-1.2274,,-1.7217,0.121,-0.6075
0.7471,0.9315,0.946,0.4232,1.2875,0.7877
0.6693,0.9614,0.0784,-1.0275,-0.9173,-0.7055
-0.8281,-0.9544,-1.6253,1.5339,0.0573,1.3274
0.3605,0.4047,,,-1.0633,-1.696
0.2874,-1.6348,-0.7684,-0.2193,0.4573,-0.2294
-0.1153,0.5106,0.2029,0.9497,0.3469,-0.049
1.7079,0.902,1.1691,1.5905,0.8395,2.9025
-0.4716,-0.5503,0.2948,1.6358,0.8682,1.0266
-0.0573,-0.5975,0.3043,,-1.5469,-1.295
2.2451,2.3318,1.6981,0.5067,1.7287,2.3721
0.5709,-0.174,0.0117,0.4808,0.6676,0.7359
-1.0383,0.3835,-1.3887,1.0427,1.346,0.3432
-0.7335,0.4269,-0.0004,-1.09,-1.0139,-1.1062
-0.2605,-1.126,-0.179,0.7354,,1.407
-1.5367,-1.1445,-1.4328,0.332,0.3545,-1.419
,0.8512,0.541,-0.8251,1.5472,1.4583
-0.4501,-0.4217,-0.025,-0.4554,-1.697,0.7922
-0.4286,0.5039,0.1545,-0.3893,0.8658,-0.3765
-0.1198,1.3103,0.5664,0.0023,-0.5898,-0.9602
0.4489,0.1853,-0.6298,-0.6195,-0.7799,-0.4372
0.2426,0.746,0.2036,0.2837,0.9116,
-2.1575,-1.2212,-2.1798,-1.7448,-1.0417,-2.0684
1.6713,2.5775,,0.2154,,0.9582
-0.8101,-0.1805,0.5333,0.0299,0.8829,0.2597
0.5026,0.8849,1.0927,0.7372,-0.4413,-0.1758
1.6254,0.6553,-0.3055,0.3653,,-0.1241
1.3757,2.5231,1.3051,2.3512,2.0025,1.1071
1.1607,1.1522,0.9867,1.7204,0.3922,0.1121
-1.1915,-0.6257,-1.1553,-0.4562,-0.8006,-0.6541
,1.8029,0.9912,-0.139,0.7263,0.1278
-0.3214,-1.3209,,-0.6526,-1.4411,-1.8826
-0.7656,,-0.9615,-0.1363,-1.4195,0.9057
,0.0002,-0.4326,0.1236,-1.0085,-0.1512
0.2422,0.5787,0.7907,,0.3736,
-0.1124,-0.0263,,-0.6194,0.863,0.5405
,-0.541,0.0347,-0.3246,,-0.1031
-0.858,-1.0999,-1.9013,-0.2317,0.4282,-0.6868
-0.9105,-0.3909,-1.4164,0.3783,0.7277,-0.1728
-1.1291,-1.3064,-0.8492,-0.7061,-0.7042,
0.4548,-0.3688,1.4841,0.1186,0.0151,0.6809
0.2164,-1.2828,-1.1271,-0.8493,0.0344,-0.9501
-0.2135,1.004,0.4853,1.4124,1.2605,1.8864
0.5697,,0.2559,2.2341,1.9375,1.5319
1.5424,-0.0421,0.2189,-0.027,-0.1788,-0.102
-0.1351,-0.2861,-0.1493,-0.3247,-0.4165,-1.0392
0.7567,1.0203,1.0298,0.7869,1.0525,0.3273
-0.8861,-0.4857,-2.1864,-0.2134,-0.5751,1.1969
1.138,1.6903,0.2777,0.7441,0.7647,0.9387
-0.3605,0.4065,,0.5965,-0.0303,0.9978
0.9334,0.024,1.3555,0.6991,0.8991,2.1267
1.4987,2.418,1.5407,1.3484,1.5603,1.4479
0.957,0.618,-0.1837,1.3648,2.1454,2.776
-0.0609,0.7442,0.4541,0.954,0.118,0.4451
-0.3711,0.5875,0.93,,1.3992,0.4911
0.3609,0.3226,-0.172,0.021,1.2597,0.5325
-1.2346,-0.733,-1.1996,0.3913,-0.4456,0.1027
1.2646,1.4749,1.4729,0.7135,1.2715,1.4311
,-0.8313,0.8815,-0.7254,1.0671,-0.8324
0.9089,-0.3497,-0.9306,0.2131,0.1462,0.7255
-1.0843,0.5035,-0.4235,,1.2667,2.3226
-1.4502,-2.2138,-1.8515,-2.0209,-1.1615,-0.8144
-1.1279,-0.7614,-0.5474,-0.4227,-0.0966,-0.0495
0.8141,-0.2937,1.2203,0.5727,-0.7315,-1.074
-2.2498,-1.6539,-1.7192,0.4665,0.128,0.4134
0.7251,0.6073,-0.6205,-0.9959,0.2301,-1.3602
-0.7297,-0.9166,-1.1382,-0.9597,-2.6061,-1.8305
-0.6627,-1.3265,-0.8449,-0.66,0.065,-1.8663
1.2576,2.5371,0.362,-0.3453,0.2115,0.0134
0.0255,-0.8862,-0.0482,-0.682,,-0.4951
-1.3895,-1.924,-1.6963,-1.5596,-1.8405,-0.8156
0.3955,,0.8945,0.8085,,0.9708
0.8908,1.4866,,-0.7505,0.2954,0.1712
1.947,2.2344,0.9477,0.9545,0.7916,1.5019
0.4191,1.162,0.4131,0.5505,0.512,0.0083
-1.5743,-0.2497,-0.7759,0.6637,1.524,0.838
0.1815,0.6834,0.5987,-0.2976,0.5299,0.0686
0.37,1.3899,0.9244,-0.0075,-0.3084,-0.5026
0.2205,-1.1757,-0.021,-0.4829,-1.4219,0.1935
0.4859,0.4599,0.8389,-0.6704,-0.3394,
0.9606,0.3869,0.3816,1.1725,-0.1801,1.6458
1.3702,0.1112,,,-0.2073,-0.4926
-0.1608,-1.4193,,,0.5839,-0.448
-0.3407,-0.1963,-1.1587,0.1573,,-0.6953
1.4755,0.6035,-0.1533,0.3086,1.1862,1.1968
-1.1936,-0.4174,-0.2969,1.1696,,
,1.6434,1.3122,0.9814,0.1396,0.1036
2.3014,1.7084,0.642,-0.0984,0.8093,0.7077
0.0432,-1.3279,-1.2382,-0.5862,,-0.1143
1.3159,1.5209,-0.2393,0.1462,-0.8215,-0.9379
-1.057,0.2653,-1.2441,-1.6063,-2.1498,-2.4865
-0.491,-0.1925,0.6654,,0.7587,1.0318
1.1941,-0.184,0.9463,0.3619,-0.643,-0.2275
-1.4606,,-0.7568,0.5297,-0.3202,-0.8627
-0.3728,-0.978,-0.0816,-0.3546,-0.7477,
-0.7274,-0.2358,-0.8931,-1.1017,-0.5823,0.041
-0.1519,-1.4121,-1.0796,-0.0101,-0.6643,-0.3547
-0.1855,-0.3066,-0.299,-0.1641,0.1605,-1.0913
-0.9091,-0.5437,-0.9616,-0.1443,-1.0785,-0.9132
-0.1851,0.1653,0.4892,-0.6298,-0.6343,-0.6026
-0.2067,0.653,-1.185,0.281,1.0938,1.4564
-0.045,0.1898,0.0841,0.428,0.382,0.4018
,-1.3722,0.7295,0.7551,-0.4012,-0.1789
0.4852,0.9586,0.6441,-1.0857,1.4647,1.2125
2.0872,1.3033,2.3421,1.3215,,0.7451
-2.4561,-1.7746,-1.2567,-2.0833,-1.3697,
-0.3065,-1.4017,-1.2075,1.0509,1.7635,-0.8918
2.1493,,1.6445,-0.7825,0.4188,1.3369
1.0035,0.6574,1.3669,2.0091,1.3362,1.1943
-0.7696,0.6926,-1.9297,-0.5789,0.0414,-0.8086
0.8848,1.0655,0.9156,,,-1.1272
-0.4763,0.6456,-1.0649,0.8,-0.4812,0.3638
-0.614,-0.9087,-0.465,-0.6246,1.8084,1.0227
-1.0627,0.1895,-0.8669,-0.8497,-0.5314,-1.3731
-0.8106,-0.4317,0.5522,-0.1903,0.056,0.243
0.4378,,0.5151,1.0231,1.2529,1.3629
,0.2718,,-0.0679,-0.1283,0.215
-0.9413,0.4463,-0.5038,0.0531,0.6758,-0.4425
-1.2615,0.3995,,-0.916,-0.9472,-1.8187
0.4922,,0.0214,1.0147,1.0862,0.5435
1.0404,0.9311,1.3208,-0.7407,,-1.0387
0.5531,1.3222,0.5967,1.7102,1.6686,2.0035
-0.8886,-0.8206,-0.8158,-1.3251,-0.9576,-0.9095
-0.1691,0.3879,-0.6303,0.5606,0.5348,0.8192
,-0.5816,0.4443,-2.0843,-1.544,
-0.6914,0.0063,0.4613,-1.0906,-0.394,
0.112,1.2398,1.1174,0.1778,0.8446,0.8036
-0.0725,-0.8922,-0.6036,0.9486,0.9371,0.2606
-1.1728,-0.838,-0.8321,,-1.1381,-0.3925
0.7191,0.4648,0.07,1.3007,,1.0485
-0.1868,0.8346,0.6882,-0.7785,-0.7018,-0.4229
0.2914,0.2639,0.0475,1.6138,,0.1596
-1.7737,,-1.748,-1.3528,0.2792,-0.4521
1.6678,1.2171,0.9901,-0.1452,0.5809,0.0823
-0.0131,-0.5778,-0.4439,-0.042,0.6715,1.9262
1.5888,-0.0443,0.7,0.411,0.6813,-0.5691
0.4365,0.4414,1.2335,0.9479,1.7613,0.3701
-1.7323,-0.6227,-0.1822,-0.3107,0.3363,-0.1102
-0.5862,0.4177,0.4937,1.6982,0.7119,-0.3038
0.4822,0.4116,-0.0227,1.4127,1.3227,0.8148
0.5313,-0.048,0.0236,0.3662,0.0173,0.199
,0.2272,,-0.5634,-0.4592,0.0535
0.5919,0.1516,1.5583,,1.178,1.7204
0.1576,1.044,0.5032,1.1833,0.7666,1.1324
0.7501,-0.4342,0.4506,1.2698,1.4274,0.482
0.937,-0.4602,0.5709,,0.4127,0.9882
-1.3502,-0.503,0.3474,0.9347,-0.8977,-0.8519
0.9369,1.1241,,0.4062,-0.9807,-0.1093
,-0.8427,-0.2678,0.9438,1.8072,0.3936
-0.1177,-0.3887,-0.5391,,0.6378,0.9441
-0.549,-0.2983,,-0.322,-0.5788,-0.2763
-0.5451,-1.6362,-0.575,-0.6844,-0.6126,-2.0678
-1.1714,-1.43,-1.0563,0.5419,0.3534,0.4816
0.2229,-1.7851,,0.0436,-0.5234,0.1201
0.4425,0.2828,-0.3599,0.2203,,-0.3597
1.8956,0.0662,1.5851,0.5652,-1.0976,-0.1601
0.0836,0.2578,-0.8743,0.576,-0.1592,1.2725
-2.717,-2.1877,-2.539,0.0095,,-1.1663
0.2074,-0.2458,0.8165,0.5468,0.1751,0.8828
-0.3551,1.5732,-0.4563,0.2732,-0.628,
-0.0079,-0.2799,0.628,0.9905,0.3077,0.314
-1.0545,-0.4079,-0.7215,-0.2038,,-1.9294
0.2148,0.7958,-0.1622,0.8018,-0.4315,-0.0933
-1.2861,,0.1066,-0.2754,-0.4629,-1.0673
0.1434,0.7733,-0.4622,0.9631,1.1395,1.1991
-0.4525,-1.0249,,-0.9233,-1.4365,-1.62
0.1771,-0.2052,,-0.5432,0.9583,0.3605
,-0.5702,0.7214,-0.2524,-0.043,0.2258
-0.7282,0.1588,-0.9024,-0.3562,-0.966,0.5118
1.0295,,2.2714,2.0503,1.7609,2.1508
