se_01,se_02,se_03,wb_01,wb_02,wb_03
-1.8886,-2.1861,-2.3303,-1.4816,-1.4161,-1.0518
1.2835,-0.3677,0.3608,1.3489,-0.2509,0.1065
0.1216,0.5922,-0.0634,0.3556,-0.1783,-0.4551
0.3863,0.5687,0.7865,-0.7308,-0.7862,-0.2829
0.5971,-1.0082,-0.2711,-0.9111,-0.95,-0.8113
2.5275,2.6091,1.7088,-0.2152,-0.7524,-1.2406
1.1344,0.6327,1.984,0.6526,2.0229,1.8883
-1.4267,-1.2164,-1.6352,-0.0117,0.1851,-0.3559
-0.415,-0.2418,-0.0247,-0.5373,0.457,-0.205
-0.8825,-0.0363,-0.6523,-0.4199,-0.4627,0.5511
0.0336,-0.1783,0.2366,0.6377,0.4951,0.4103
0.2138,-0.3608,-0.2243,-1.2757,0.7131,-2.3594
0.7588,-0.5602,0.9859,1.0309,1.6514,0.7338
0.6796,0.6929,0.3596,0.2052,0.6133,0.064
-2.2182,-1.627,-2.3275,-1.5217,-0.5839,-1.957
0.5611,0.5895,0.8147,0.4027,0.8761,0.4027
-1.1723,-0.0754,-0.6102,0.2606,-0.914,0.012
-0.7494,0.841,0.3156,0.3753,0.363,0.7232
0.106,0.9875,0.9295,-0.575,-1.0825,-0.6403
0.2709,-0.2969,-0.3184,0.5891,-0.568,0.0718
1.028,2.8826,1.6951,2.5089,2.0399,3.0501
0.2107,0.3815,0.7183,0.3649,-0.8679,0.2774
1.0909,-0.3285,0.3121,-0.3661,1.6426,-0.9806
0.6173,-0.0256,0.5912,-1.038,-0.1567,-1.5092
2.706,2.2111,1.5397,0.1276,1.266,1.2716
1.9385,0.7487,1.3383,0.8369,-0.4325,-0.0914
1.1669,1.2339,1.3086,1.9113,2.1419,2.0483
0.1485,-0.0062,0.6477,0.9985,1.5813,-0.0949
0.7402,0.5903,0.9072,0.3979,0.1389,-0.4165
1.0062,-0.2224,-1.0847,-0.0772,0.8321,-0.2417
-1.0556,-0.3237,-1.61,-0.8968,0.0393,-0.0189
0.8077,0.024,0.6251,1.6459,-0.2111,1.543
0.4649,-0.3151,0.1735,-0.402,-0.5292,-0.6916
-0.5202,-0.4511,-1.4915,-1.1024,-1.3072,-0.9238
-0.8111,-0.5384,-0.5062,0.8556,-0.3192,0.1696
0.8206,0.2153,1.3063,-0.9213,-1.0812,-1.2421
0.8446,1.1083,-0.0226,-0.1555,-0.7263,-0.4124
0.9984,1.8594,1.1866,-0.3072,-1.5099,-0.141
1.0909,-0.4383,0.5236,-0.0161,0.1859,0.1516
-2.568,-1.5121,-2.506,-0.9959,-0.9378,-1.0692
-0.8702,-0.5303,-0.0416,-0.3284,1.5385,1.2321
0.2333,-0.4262,-0.8389,-0.4624,-0.9869,-0.5924
-1.8513,-1.7697,-1.3781,-0.4819,-0.9778,-1.2954
-2.1973,-2.3271,-2.407,-0.8821,-0.2911,-1.1606
-0.5316,-1.3296,-1.0858,0.0304,-1.0228,-1.3204
0.9634,0.2447,-0.4927,0.9358,1.2448,0.8183
0.7473,-0.442,-0.5186,0.6782,1.2988,0.4974
0.7759,-1.2049,1.3529,-0.1533,-0.4558,-0.3414
-0.652,0.4966,-0.3367,-1.2599,-0.1635,-0.2621
0.5033,-0.047,-0.1725,-2.1324,-0.7066,-1.2783
0.3698,0.4438,0.5082,0.3823,1.0579,0.3194
0.132,0.7349,0.3263,0.1113,0.0803,-0.658
-0.1851,0.579,-0.3221,0.2911,1.0256,-0.4195
2.3178,2.9255,2.469,0.7228,0.1011,-0.7289
-2.7106,-1.944,-2.242,-0.1221,-0.9909,-0.2736
0.4698,0.4636,0.0111,0.7316,0.4356,-0.0073
-0.7276,-0.6225,0.4317,-0.2475,-0.6182,0.0175
1.263,0.9456,1.3316,0.7576,0.2189,-0.1182
-1.6521,-1.5598,-1.8154,-1.2992,-1.3376,-0.5933
-1.4792,-1.0454,-0.0611,-1.3266,-1.3941,-1.3566
-1.2163,-0.6019,-1.3509,-1.0328,0.0912,-0.4082
-0.7944,-0.9629,-1.5342,-0.2273,-0.8751,-0.947
-0.5805,1.0042,-0.6802,0.4423,-0.0772,1.566
-0.0984,-0.3388,-0.4102,-0.5343,-1.3168,-2.3397
-0.2471,-0.7476,-0.7293,0.219,0.5192,0.0149
-1.8616,-1.2995,-1.2205,-0.108,-0.3353,-0.3124
-1.4072,0.4846,0.1158,-0.4714,-0.1927,-0.4512
0.2138,0.1076,0.1448,-1.0283,-0.7149,-0.2833
-0.1869,0.9114,0.6897,-0.0549,0.7533,-0.6831
-0.5836,-1.1193,-0.506,-0.9784,-0.703,-1.0341
0.4641,0.1123,0.3268,0.9183,0.4519,0.9556
0.1621,0.5381,0.8989,0.0827,-0.3002,0.8783
-1.1893,-0.4891,-1.5933,-1.2881,-0.5404,-0.5247
-0.9564,1.1291,-0.8693,0.8435,1.6594,0.7931
-0.3857,0.2165,-0.7556,0.5515,1.3988,0.3399
-1.675,-1.5414,-1.308,-0.5942,-0.1652,0.3758
-1.2568,-0.4135,-0.0162,0.8635,-0.9392,-0.4235
0.6834,0.8601,-0.5666,0.2012,0.3571,-0.6652
2.3234,2.0848,1.7032,2.9265,1.4698,2.3266
-1.9868,-0.7557,-0.9126,0.46,1.0343,0.0714
0.816,0.1782,1.1946,-1.4963,-0.8172,-1.202
0.4097,1.6608,0.6701,0.606,0.072,-0.3805
-0.209,1.0241,0.7016,2.0696,2.0237,2.3252
0.4186,-0.8391,-0.1151,0.7693,1.2962,0.3715
0.4603,-0.8026,0.8572,1.1279,0.7016,0.854
-0.4772,-1.0952,-0.0261,-1.8075,-2.418,-1.5506
-0.0777,-0.6926,0.413,-0.1434,-0.7471,0.9094
-0.2222,1.6336,1.1321,-0.4785,-0.048,0.0241
0.2725,-0.124,0.0334,0.585,-0.3293,0.1392
-0.3172,0.4106,-0.2186,0.812,0.1035,0.3065
1.7166,-0.0232,-0.1072,1.1754,0.8937,0.4602
0.0707,-1.0652,-0.1059,-0.003,-0.0131,0.1126
-0.8113,-0.6422,-0.3307,-0.4714,-0.6325,-0.2817
0.9391,0.886,1.4807,-0.0577,0.6754,0.3074
0.1676,0.1374,-0.4494,-2.0526,-0.9444,-0.7495
0.3106,0.0781,0.7279,0.0796,0.6479,0.6877
-0.0785,-0.0933,0.195,1.5163,0.8977,0.9029
0.5774,-0.843,0.4497,0.4763,-0.1596,1.0598
0.4079,0.8936,0.4876,2.1081,0.5942,2.3681
-0.1704,-0.5498,-1.0725,-1.0638,-0.4668,-0.3925
-0.7044,-0.8485,-1.2725,-1.0937,-0.0284,-0.2118
-1.6341,-2.769,-0.5373,-1.7922,-1.2837,-2.407
0.3556,0.2701,-0.5815,1.1976,0.2184,1.4811
-0.3239,-0.2483,0.2596,1.7153,1.7657,1.1947
-0.5844,-0.065,-0.8285,-1.9835,-1.1871,-1.1441
-0.7856,0.4622,-0.4782,-0.3204,-0.3516,-0.1099
1.1571,0.0898,-0.1461,1.267,0.4395,0.7781
2.2946,0.075,0.7554,-0.3014,0.3617,0.4199
1.186,1.719,0.8634,0.6211,0.8798,0.9837
0.2108,-1.151,0.8111,-0.6077,-0.4256,0.2146
-0.5129,0.6436,0.5341,0.4191,-0.4268,-0.4956
0.8135,0.0914,0.4494,-0.705,0.4257,1.1469
-0.3028,-0.5216,-0.6643,-0.0214,-0.9728,-0.0423
0.1675,-2.0257,-0.1671,-1.7757,-0.5028,-0.1867
-1.5782,-0.7526,-0.8899,-2.0098,-2.1634,-1.1126
1.4642,0.4073,0.7712,0.8968,-0.2873,1.1516
-0.1673,0.1997,0.3011,-0.1591,1.0963,1.4083
-0.5503,0.5115,-0.5266,0.925,0.2902,-0.1102
-0.9191,-0.7375,-0.4594,1.2615,1.2018,0.442
1.7328,1.8884,1.4058,1.0128,0.5925,0.6685
1.876,1.7289,-0.2737,2.1095,1.3799,0.4195
0.0567,0.5274,1.5098,1.6535,1.2406,1.694
0.2463,-0.26,-0.1349,0.0178,-0.053,-0.3432
-1.4335,-0.5742,-1.346,-1.2783,-0.6309,-1.9114
0.2938,-1.2017,1.2595,1.7199,1.9121,2.8553
-0.1233,-0.0858,-0.0028,-0.173,0.0658,-0.3386
-0.285,-0.3887,0.8671,-1.9489,-1.8974,-1.091
-0.3264,0.4931,1.332,1.7764,0.9355,1.062
-0.6941,-0.5508,0.2916,0.6348,-0.861,-1.1875
1.482,0.6439,0.3259,-0.8325,-0.4128,-0.7065
-0.7127,-0.2722,1.4847,-1.301,-0.8918,0.2096
0.0068,-0.1257,0.3536,0.5524,0.4235,0.1217
-0.116,0.3135,-1.1986,-0.7829,-1.255,-1.6147
-0.577,-1.5228,-0.0566,-1.3855,-0.6014,-0.592
-0.6852,1.0578,0.9743,-1.1177,-0.1733,-1.2151
-0.4354,0.3549,-0.621,0.2341,-0.1017,-0.2701
0.1729,-1.4033,-0.2038,-0.1647,-0.2341,0.8612
-0.3694,-0.0099,-0.7079,-1.1212,-1.7885,-2.1211
2.3583,1.3319,0.1246,2.0687,3.0788,0.8957
-0.9592,-0.7845,-0.5964,-0.5659,-1.3486,-0.007
1.9896,0.6339,0.0442,-0.0803,0.0754,1.0178
0.2115,0.3626,-0.4427,2.2767,1.0905,1.8926
-2.8068,-2.1023,-1.6609,-1.5647,-2.3132,-2.4166
3.2936,1.4936,2.3751,1.2028,0.6604,1.293
-0.3149,-0.4933,0.5418,-0.6151,-1.0722,-0.1913
-0.9003,-0.8821,-0.0274,0.3276,-0.1598,-0.5846
0.7197,1.2913,0.6399,-0.4501,0.2716,-0.1266
-0.397,1.6435,0.8305,-0.69,-0.2901,-1.7867
-0.0667,-0.6276,-0.9944,-0.5026,-1.0272,-0.5724
-0.8188,-0.1558,0.0209,-0.9911,-0.2239,-0.38
-1.0295,-0.6399,-1.6728,-0.8401,-0.2306,0.3685
-0.4138,0.5395,-0.5436,-1.5633,-1.774,-0.6901
0.9753,-0.3513,0.3172,-0.5959,0.4834,0.3251
0.5406,1.612,0.3515,-0.4605,0.0159,0.1305
-0.388,0.5184,0.8667,-1.1813,-0.2945,-0.4885
0.0196,-0.1159,-1.0132,-0.271,-0.2665,-1.2315
-0.29,-0.8708,0.0382,1.3851,1.078,0.5373
-0.8354,-0.15,-0.442,-1.4051,-1.002,-1.87
1.0068,0.9928,-0.2035,0.8896,0.11,-0.0685
0.712,0.6825,0.2425,0.3081,1.0938,0.8325
0.7582,-0.1826,0.5304,0.3282,0.1308,0.0718
0.678,-0.047,0.2287,-0.4787,0.7639,1.2439
-0.3815,0.9495,-0.6612,-0.7822,0.3211,0.45
-1.9865,-2.0919,-0.2783,-1.1318,-2.3232,-1.5345
0.923,0.3743,0.89,1.153,0.5615,0.7812
1.8816,1.056,0.4137,0.0284,-1.0379,0.6833
-0.8102,0.2799,-0.4834,0.029,-0.8296,-0.8691
1.2973,0.6549,1.2017,0.7551,-0.2724,0.131
-0.3248,0.3245,-0.4815,-1.3075,-0.5542,-0.1679
0.0902,0.3339,-0.7621,-0.311,0.9519,1.4766
-0.4618,-1.1985,0.4354,0.9518,0.1954,1.6782
-0.5634,-1.1293,-0.7601,0.2743,0.9719,1.1361
-0.4446,-0.4603,0.7885,0.1562,-0.1416,-0.5117
-1.0281,-0.1766,1.0335,-0.1281,-0.6613,1.5073
-0.0626,-0.3681,-0.0992,1.0303,1.6453,1.1982
0.0314,-0.6354,-0.794,-1.2522,-2.8988,-1.0016
-0.1137,1.4686,0.2523,-0.2918,-0.627,0.3335
-0.8154,-0.3361,-0.402,0.6895,0.8106,1.5951
-0.6983,0.3723,0.0246,0.0727,-1.8334,-0.7314
-0.2408,0.1075,0.053,1.9028,2.3824,1.8886
0.0892,-0.265,0.0287,-0.3278,-0.8544,0.664
-0.7622,-0.8394,-0.6476,-1.7704,-1.2854,-0.6863
-0.603,0.2324,-1.5474,0.267,-0.2964,-1.067
-1.2744,-0.8418,-1.2895,0.0638,-0.3567,-0.7612
0.9324,0.007,1.0137,-0.6621,-0.5324,0.1821
0.4234,-0.4612,0.7534,-0.3529,-0.7587,0.2914
0.2411,0.8717,-0.1196,0.9565,0.546,-0.0255
-1.3152,-1.1012,0.7648,-0.6817,-0.4751,-0.7218
0.0328,0.0878,0.5156,-1.9686,-0.9631,-1.0787
0.3184,0.5424,-0.6449,0.8942,-0.2979,0.7649
-1.3228,-1.2108,-1.3786,-1.1359,-1.2095,-0.9017
-0.3008,0.6415,0.865,-0.4233,-1.1192,-0.9782
0.0079,0.5237,0.7727,1.2561,0.6608,0.4603
0.3328,0.2317,-0.0063,0.5521,0.2222,-2.0659
-0.4268,-2.073,-1.3223,-0.208,0.4672,0.1577
0.1184,0.6076,0.0676,-0.6612,0.7273,0.3934
-1.0413,-1.267,-1.6263,-0.8113,-0.017,-1.1877
1.8651,0.5871,1.771,-1.003,-1.0601,0.0889
-0.9064,-1.2227,-1.7704,0.2294,0.092,-0.1573
-1.0392,-0.5222,-1.7835,0.0375,0.5227,-0.769
-0.8121,-1.539,0.2241,0.1352,-0.0453,0.3764
-0.9985,-1.6775,-0.7732,-1.8724,-0.991,-2.1861
-1.8045,-1.4149,-1.4337,-0.9748,-2.2942,-0.8914
-0.6275,-0.5042,-0.6327,-0.2242,-0.2122,-0.2133
0.0565,0.1079,-0.6094,0.4134,0.467,0.648
-1.7472,-0.5447,-1.5969,-0.6553,0.1922,-1.0774
-0.5384,-0.3228,-1.2238,-0.256,-0.1387,0.5792
0.8091,0.6537,-0.3299,-0.9719,0.8222,-1.4115
-0.0139,-0.5562,0.3197,0.8266,1.0754,1.5685
0.8614,0.6455,0.4585,-0.5347,-0.9085,-1.4709
0.8801,1.038,1.2826,1.1901,0.2889,1.2207
-1.1177,-0.1735,0.4531,-0.0868,-0.2124,-0.0936
-0.9819,-0.3661,-0.5966,-2.3029,-0.5798,-0.9848
0.7961,-0.445,-0.0442,1.2191,1.9857,0.6665
-1.3994,-0.0005,-0.1152,-0.6934,-1.6564,-0.3457
-0.4739,-0.9169,-0.6389,-0.1413,0.3104,-0.6911
0.3802,-0.0795,0.1765,-0.304,-0.0046,-1.2442
-0.1022,-0.7585,-0.7499,-0.1995,-0.2602,0.26
-2.1543,-1.7123,-1.4399,-0.4744,-0.6046,-0.4934
0.6524,1.2772,0.0538,-1.3416,-1.1884,-1.7239
0.1494,0.2438,0.4472,-0.0506,1.012,0.6861
-0.7911,-0.7188,-0.5316,0.8133,-0.1629,-0.949
-0.91,-0.6961,-0.627,-0.9347,0.0959,0.3653
-0.2321,-0.9341,0.391,-1.2011,-0.497,-1.2282
1.3074,-0.2903,-0.8843,0.2734,0.9514,1.0626
-0.8447,0.1383,0.4659,1.635,1.6432,1.5627
-1.0139,-1.7822,-0.7988,-0.1738,-1.0404,-2.1522
0.2732,-1.1614,0.1494,-0.3748,0.7272,0.3263
0.3915,-0.049,-0.5947,-0.9412,0.3784,-0.8374
0.5483,-0.6042,-0.6005,1.8791,1.2073,0.9652
1.0179,0.584,1.2192,0.214,0.2205,0.9609
-0.142,1.4648,0.4953,0.2005,0.6233,0.7591
0.0646,0.6926,-0.32,0.1437,1.2323,1.5273
-2.9201,-1.7987,-1.8941,-2.3588,-0.8251,-2.3889
-1.464,-2.2992,-1.5604,0.7326,-0.0482,0.1545
0.8891,-0.0852,0.2683,0.7273,-0.296,-0.193
0.5341,0.9748,0.7811,-1.011,-1.1592,-0.1693
-1.5149,-0.8254,0.318,-0.4118,-1.3157,-0.0332
-0.8066,-0.5617,-2.2444,-0.2806,-0.3249,0.0824
1.9969,0.882,1.7394,0.8693,-0.547,-0.8024
-2.5555,-1.3075,-2.2708,-0.8085,-0.2131,-1.1064
-0.4658,-0.8374,-0.2068,-0.0889,0.7273,-1.7775
-1.0867,-0.7729,-0.4489,-0.3214,0.0618,-0.6196
-0.9003,-1.0332,-0.2645,0.2405,0.5641,-0.4777
-0.016,-0.0522,-0.3568,1.1437,1.1952,1.3316
1.3159,0.8199,0.6381,1.3334,1.5839,0.8414
0.3672,0.589,0.3755,0.9941,0.453,-0.0923
3.4634,2.1374,1.7697,1.7196,2.1421,3.1879
0.9303,1.3388,0.6786,1.2467,2.1156,0.5678
1.1166,1.4887,0.1967,0.2858,-0.059,0.7117
0.3565,-1.2038,0.6402,-1.1505,-0.595,-0.3997
2.035,0.6508,1.0347,1.047,0.4767,0.6899
1.5297,2.5927,1.554,0.5208,2.2454,2.8156
0.3848,-0.0315,0.6721,-2.0238,-1.5295,-0.4516
0.9171,0.1152,-0.0933,0.3331,0.284,1.3457
-0.706,-0.0654,-0.6516,-0.5552,-0.7007,-0.5646
0.309,0.6638,0.6296,-0.2112,-0.5676,0.0671
-1.1765,-1.6861,-0.8578,0.8437,-0.4374,1.1844
-0.3176,-0.1837,-1.1072,1.0969,2.05,1.2987
-0.412,-0.2748,-1.7882,-2.3759,-1.5925,-1.1887
-0.0783,0.731,1.2614,-1.5746,-1.5675,-1.5932
0.5525,0.3635,0.1398,-0.6389,-1.3129,-0.3073
-0.2616,-0.3053,-1.0266,-0.3975,1.7511,1.978
0.9194,-0.1022,-0.8395,-1.5745,-1.6749,-0.7349
