respondent_id,age_group,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
28,20代,大学院,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0
29,60代以上,大学院,3.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0
30,50代,高校,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0
31,30代,専門,4.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,5.0,3.0
32,50代,大学,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,5.0
33,60代以上,大学,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0
34,30代,専門,3.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,4.0,2.0
35,50代,高校,4.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0
36,50代,高校,2.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,2.0,3.0
37,40代,大学院,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0
38,50代,大学,1.0,4.0,3.0,4.0,3.0,3.0,,2.0,3.0,1.0
39,30代,大学院,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0
40,60代以上,大学,,2.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,
41,60代以上,大学院,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0
42,60代以上,高校,2.0,4.0,3.0,,3.0,3.0,4.0,3.0,4.0,3.0
43,50代,高校,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0
44,20代,大学院,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0
45,30代,大学院,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,
46,40代,専門,4.0,5.0,3.0,3.0,2.0,,3.0,3.0,3.0,2.0
47,60代以上,専門,4.0,4.0,5.0,3.0,1.0,2.0,4.0,4.0,5.0,4.0
48,40代,大学,3.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,5.0
49,40代,専門,3.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0
50,20代,高校,3.0,4.0,3.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0
51,50代,大学院,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0
52,30代,専門,4.0,3.0,4.0,2.0,1.0,5.0,,3.0,2.0,2.0
53,20代,大学,2.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0
54,60代以上,高校,3.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0
55,20代,高校,1.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0
56,20代,大学,4.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0
57,20代,専門,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0
58,40代,大学,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0
59,20代,高校,5.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0
60,60代以上,大学院,3.0,3.0,3.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0
61,40代,大学,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,,3.0
62,30代,大学院,4.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0
63,20代,高校,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
64,40代,専門,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0
65,20代,専門,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0
66,60代以上,大学,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0
67,30代,専門,4.0,2.0,3.0,1.0,5.0,4.0,3.0,1.0,3.0,3.0
68,40代,高校,3.0,,4.0,2.0,4.0,,3.0,3.0,4.0,2.0
69,20代,専門,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0
70,20代,専門,2.0,3.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,4.0
71,30代,専門,,2.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0
72,20代,高校,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0
73,50代,専門,4.0,4.0,5.0,4.0,,4.0,3.0,4.0,2.0,4.0
74,60代以上,大学,5.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0
75,60代以上,専門,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0
76,30代,専門,1.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0
77,50代,大学,3.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,4.0,3.0
78,40代,大学,5.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0
79,20代,専門,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0
80,20代,大学,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
81,40代,大学院,5.0,5.0,4.0,3.0,3.0,4.0,,4.0,,3.0
82,40代,大学,4.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0
83,20代,大学院,5.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0
84,60代以上,大学,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0
85,50代,高校,5.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0
86,40代,専門,3.0,1.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0
87,60代以上,大学,4.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0
88,60代以上,大学院,3.0,2.0,3.0,4.0,3.0,5.0,1.0,3.0,4.0,2.0
89,60代以上,大学,3.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0
90,30代,高校,5.0,3.0,4.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0
91,60代以上,大学,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
92,40代,高校,4.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0
93,50代,大学,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0
94,60代以上,大学,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0
95,20代,大学,3.0,2.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,3.0
96,40代,大学院,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0
97,20代,大学,4.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0
98,30代,大学,2.0,4.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0
99,40代,大学,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0
100,60代以上,大学,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0
101,60代以上,大学院,3.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0
102,30代,高校,1.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0
103,30代,大学,5.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,2.0,4.0
104,40代,高校,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0
105,60代以上,大学院,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0
106,60代以上,大学,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
107,30代,専門,4.0,,2.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0
108,20代,高校,,5.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0
109,50代,専門,4.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,4.0,4.0
110,30代,大学,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0
111,20代,高校,3.0,4.0,3.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0
112,20代,高校,3.0,2.0,2.0,3.0,3.0,4.0,,,4.0,5.0
113,40代,大学院,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0
114,30代,大学,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0
115,40代,高校,2.0,4.0,4.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0
116,30代,専門,1.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0
117,50代,大学院,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0
118,50代,大学,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0
119,40代,大学,4.0,3.0,3.0,5.0,2.0,3.0,1.0,5.0,4.0,4.0
120,20代,専門,3.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0
121,40代,専門,3.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0
122,50代,高校,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,2.0,4.0
123,30代,大学,3.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,,4.0
124,30代,高校,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0
125,40代,高校,3.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,5.0
126,30代,大学,5.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0
127,40代,大学院,2.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
128,30代,大学,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0
129,30代,大学,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0
130,50代,大学,3.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,5.0
131,40代,専門,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0
132,40代,専門,,3.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0
133,50代,大学,4.0,3.0,3.0,,3.0,4.0,2.0,4.0,5.0,4.0
134,30代,専門,3.0,5.0,2.0,2.0,3.0,3.0,,3.0,5.0,2.0
135,20代,大学,1.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
136,60代以上,大学院,5.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0
137,20代,大学院,5.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0
138,40代,高校,4.0,2.0,2.0,4.0,1.0,3.0,5.0,2.0,2.0,3.0
139,30代,専門,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0
140,30代,高校,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0
141,20代,専門,4.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0
142,60代以上,専門,5.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0
143,40代,高校,4.0,2.0,2.0,3.0,3.0,3.0,1.0,5.0,2.0,2.0
144,30代,大学,2.0,2.0,4.0,5.0,,4.0,4.0,4.0,4.0,3.0
145,50代,大学,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0
146,20代,大学院,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0
147,40代,高校,1.0,3.0,2.0,,4.0,3.0,3.0,5.0,3.0,4.0
148,40代,高校,3.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0
149,40代,専門,5.0,1.0,4.0,1.0,3.0,,1.0,1.0,3.0,4.0
150,20代,高校,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0
151,60代以上,専門,4.0,2.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,2.0
152,30代,大学院,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0
153,50代,高校,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0
154,50代,高校,3.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0
155,30代,大学,3.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0
156,20代,大学,2.0,3.0,4.0,,4.0,3.0,3.0,4.0,4.0,3.0
157,30代,大学,5.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0
158,60代以上,専門,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,5.0
159,60代以上,大学,2.0,,2.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0
160,60代以上,高校,4.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0
161,30代,専門,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0
162,50代,大学,4.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0
163,20代,大学院,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0
164,50代,専門,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0
165,40代,大学,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0
166,50代,高校,4.0,3.0,2.0,3.0,3.0,1.0,,1.0,3.0,2.0
167,50代,高校,3.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0
168,60代以上,高校,4.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,4.0,5.0
169,40代,大学,3.0,3.0,2.0,,3.0,5.0,4.0,5.0,2.0,4.0
170,30代,専門,5.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0
171,40代,大学,4.0,3.0,3.0,,3.0,3.0,2.0,4.0,3.0,4.0
172,20代,高校,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0
173,20代,大学院,2.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0
174,40代,大学,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0
175,60代以上,高校,4.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0
176,40代,高校,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0
177,50代,高校,1.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,
178,20代,大学院,5.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0
179,40代,高校,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0
180,50代,大学,5.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0
181,30代,専門,3.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0
182,20代,大学,4.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0
183,20代,大学,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0
184,60代以上,大学,3.0,3.0,3.0,5.0,1.0,4.0,5.0,4.0,2.0,5.0
185,50代,大学院,3.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0
186,30代,高校,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
187,30代,大学,4.0,2.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,5.0
188,20代,高校,2.0,,2.0,2.0,3.0,3.0,1.0,4.0,3.0,4.0
189,60代以上,大学,2.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0
190,20代,大学院,5.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0
191,50代,大学,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,4.0
192,30代,大学,3.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0
193,30代,専門,1.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0
194,30代,専門,2.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0
195,60代以上,専門,3.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0
196,20代,大学,4.0,5.0,5.0,3.0,4.0,4.0,,3.0,3.0,5.0
197,30代,大学,3.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0
198,30代,専門,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0
199,30代,専門,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0
200,20代,専門,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0
201,60代以上,専門,5.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
202,30代,高校,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0
203,40代,大学院,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
204,30代,大学,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,1.0,5.0
205,60代以上,高校,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0
206,30代,大学,5.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0
207,30代,大学,3.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0
208,30代,高校,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0
209,30代,高校,3.0,2.0,3.0,5.0,2.0,4.0,3.0,3.0,4.0,3.0
210,20代,高校,2.0,4.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,3.0
211,50代,高校,3.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0
212,20代,大学,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,5.0
213,30代,大学院,5.0,3.0,3.0,4.0,5.0,3.0,5.0,,5.0,5.0
214,30代,高校,4.0,1.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0
215,30代,大学,3.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0
216,50代,高校,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0
217,40代,大学,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0
218,60代以上,大学,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0
219,30代,専門,4.0,,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
220,60代以上,高校,3.0,4.0,2.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0
221,20代,大学,2.0,3.0,4.0,3.0,4.0,4.0,,3.0,4.0,4.0
222,40代,大学院,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0
223,50代,専門,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0
224,40代,高校,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0
225,60代以上,高校,5.0,5.0,2.0,5.0,3.0,3.0,,4.0,4.0,2.0
226,30代,大学,3.0,4.0,2.0,4.0,5.0,5.0,3.0,2.0,2.0,5.0
227,20代,大学,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,
228,50代,大学,5.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0
229,20代,大学,2.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0
230,50代,大学院,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0
231,50代,大学,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0
232,60代以上,高校,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0
233,40代,大学,3.0,1.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0
234,60代以上,専門,2.0,2.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,4.0
235,20代,専門,3.0,4.0,2.0,3.0,,3.0,2.0,3.0,3.0,1.0
236,40代,大学院,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0
237,20代,大学,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0
238,50代,大学院,4.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
239,50代,専門,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0
240,60代以上,大学,3.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0
241,50代,大学,3.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0
242,30代,高校,2.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0
243,20代,高校,3.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0
244,60代以上,大学,4.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0
245,40代,高校,3.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0
246,20代,大学院,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,
247,60代以上,高校,3.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,
248,60代以上,高校,2.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0
249,40代,大学,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,3.0,4.0
250,50代,高校,4.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,3.0
251,20代,大学院,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0
252,20代,大学,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0
253,30代,高校,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0
254,50代,大学,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0
255,20代,大学,5.0,3.0,4.0,4.0,,4.0,4.0,3.0,4.0,3.0
256,20代,大学,4.0,3.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0
257,50代,大学,2.0,3.0,,4.0,2.0,1.0,4.0,3.0,4.0,3.0
258,50代,大学,4.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0
259,50代,大学,5.0,3.0,5.0,4.0,,5.0,4.0,3.0,2.0,5.0
260,50代,専門,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0
261,60代以上,大学,4.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0
262,50代,大学院,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0
263,40代,大学,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0
264,60代以上,大学,4.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,5.0,5.0
265,30代,専門,1.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0
266,20代,大学,3.0,,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
267,50代,大学院,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0
268,30代,高校,1.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0
269,60代以上,高校,2.0,4.0,3.0,3.0,2.0,4.0,5.0,1.0,3.0,5.0
270,40代,大学,2.0,5.0,4.0,5.0,2.0,4.0,2.0,1.0,4.0,2.0
271,60代以上,大学,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,2.0,2.0
272,20代,大学,3.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0
273,50代,高校,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0
274,40代,専門,4.0,,4.0,5.0,1.0,2.0,2.0,2.0,3.0,4.0
275,40代,大学,4.0,2.0,4.0,3.0,2.0,4.0,3.0,,4.0,4.0
276,30代,大学,4.0,5.0,3.0,3.0,5.0,2.0,1.0,4.0,5.0,5.0
277,60代以上,大学,4.0,4.0,3.0,2.0,,1.0,4.0,3.0,2.0,2.0
278,30代,大学,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0
279,60代以上,大学,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0
280,40代,大学,2.0,4.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0
281,20代,大学,4.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0
282,60代以上,大学,5.0,2.0,4.0,5.0,3.0,5.0,,4.0,3.0,3.0
283,20代,大学,4.0,3.0,5.0,,2.0,5.0,3.0,3.0,3.0,4.0
284,30代,高校,3.0,3.0,4.0,4.0,5.0,3.0,5.0,2.0,2.0,4.0
285,60代以上,専門,3.0,1.0,3.0,1.0,1.0,3.0,4.0,5.0,4.0,1.0
286,60代以上,大学,1.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0
287,60代以上,大学院,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0
288,40代,大学,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,
289,50代,高校,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0
290,30代,大学,4.0,3.0,4.0,,5.0,4.0,3.0,3.0,3.0,5.0
