subject_id,group,age,gender,pre_score,post_score,region
173,介入,47.0,女性,56.4,65.1,近畿
174,対照,55.0,男性,57.4,51.9,九州
175,介入,45.0,女性,56.4,63.7,近畿
176,介入,61.0,女性,53.4,61.2,中部
177,介入,55.0,女性,32.2,32.0,九州
178,対照,55.0,女性,50.8,49.8,関東
179,対照,52.0,女性,44.4,40.5,九州
180,対照,73.0,女性,37.2,43.2,近畿
181,対照,,男性,66.8,67.5,中部
182,対照,,女性,67.3,66.1,九州
183,対照,64.0,女性,63.6,63.5,中部
184,介入,40.0,女性,52.6,61.9,近畿
185,対照,46.0,女性,63.5,67.7,東北
186,対照,61.0,女性,50.1,44.6,九州
187,介入,26.0,男性,52.0,53.8,
188,介入,30.0,女性,39.1,53.7,近畿
189,対照,26.0,男性,54.0,52.0,関東
190,介入,35.0,男性,50.6,50.1,九州
191,対照,50.0,女性,37.0,40.1,北海道
192,介入,51.0,女性,49.5,60.3,北海道
193,介入,48.0,男性,,48.0,中部
194,対照,28.0,男性,68.0,69.9,
195,介入,20.0,男性,58.9,71.4,近畿
196,介入,46.0,男性,,60.4,関東
197,対照,,男性,52.5,56.8,中部
198,対照,51.0,男性,50.4,42.5,中部
199,介入,53.0,女性,48.0,58.0,
200,介入,47.0,女性,39.2,45.4,中部
